2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/google/code/gson/gson/2.8.2/gson-2.8.2-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalalib-api_2.13/0.8.0/mill-scalalib-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/github/alexarchambault/argonaut-shapeless_6.2_2.13/1.2.0-M11/argonaut-shapeless_6.2_2.13-1.2.0-M11-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/mill-scalajslib_2.13/0.8.0/mill-scalajslib_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/upack_2.13/1.2.0/upack_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/google/code/gson/gson/2.8.2/gson-2.8.2-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-main-api_2.13/0.8.0/mill-main-api_2.13-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/net/java/dev/jna/jna-platform/5.0.0/jna-platform-5.0.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-repl_2.13.2/2.2.0/ammonite-repl_2.13.2-2.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/upickle-implicits_2.13/1.2.0/upickle-implicits_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/upickle-core_2.13/1.2.0/upickle-core_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/github/alexarchambault/argonaut-shapeless_6.2_2.13/1.2.0-M11/argonaut-shapeless_6.2_2.13-1.2.0-M11-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/mill-scalanativelib-api/0.8.0/mill-scalanativelib-api-0.8.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloaded https://repo1.maven.org/maven2/com/lihaoyi/upack_2.13/1.2.0/upack_2.13-1.2.0-sources.jar[0m
2022.05.21 13:01:47 INFO  Downloading https://repo1.maven.org/maven2/com/lihaoyi/ammonite-terminal_2.13/2.2.0/ammonite-terminal_2.13-2.2.0-sources.jar[0m
